+---------+-----------+----------+------------+
| campus  | room      | semester | SUM(hours) |
+---------+-----------+----------+------------+
| SOUTH   | ANY       | 1        |         35 |
| SOUTH   | ANY       | 2        |         36 |
| SOUTH   | L2.28     | 1        |         20 |
| SOUTH   | L2.28     | 2        |         22 |
| SOUTH   | LCOMP     | 1        |          2 |
| SOUTH   | LCOMP     | 2        |          1 |
| SOUTH   | LDUMMY1   | 1        |          5 |
| SOUTH   | LDUMMY1   | 2        |          3 |
| STB     | ANY       | 1        |         94 |
| STB     | ANY       | 2        |         90 |
| STB     | BCOMP     | 1        |          6 |
| STB     | BCOMP     | 2        |          9 |
| STB     | BDUMMY1   | 2        |          3 |
| STB     | BDUMMY3   | 1        |          2 |
| STB     | BF16      | 1        |          4 |
| STB     | BF16      | 2        |         12 |
| STB     | BG26      | 1        |          4 |
| STB     | BG26      | 2        |          4 |
| STB     | BS01      | 1        |         27 |
| STB     | BS01      | 2        |         19 |
| STB     | BS45      | 1        |         14 |
| STB     | BS45      | 2        |         11 |
| EASTERN | ANY       | 1        |          2 |
| EASTERN | S2.11     | 1        |          2 |
| EASTERN | S3.6      | 1        |         17 |
| EASTERN | S3.6      | 2        |         22 |
| EASTERN | SCOMP     | 1        |          2 |
| EASTERN | SCOMP     | 2        |          2 |
| EASTERN | SDUMMY1   | 1        |          2 |
| EASTERN | V2.4+V2.3 | 1        |         15 |
| EASTERN | V2.4+V2.3 | 2        |          6 |
| EASTERN | V2.5      | 1        |         16 |
| EASTERN | V2.5      | 2        |         25 |
| NRTH    | WDUMMY    | 1        |         12 |
| NRTH    | WDUMMY    | 2        |         12 |
+---------+-----------+----------+------------+
