+-----+-----------------+------------------------------------------------------------------------------------------------------+----------+----------------------+-----------------------------------------------------------------------+-------+----------+--------+----------+-----------+-----------+-----------+
| id  | course          | course_desc                                                                                          | campus   | unit                 | unit_desc                                                             | hours | semester | room   | lecturer | room_lock | day_lock  | time_lock |
| 128 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H17X34               | Software Development: Programming Foundations                         |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 129 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H18034               | Systems Development: Introduction                                     |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 130 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H18134               | Systems Development: Testing Software                                 |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 131 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H1F734               | Professionalism and Ethics in Computing                               |     2 | 1        | XY50   | 0        | 0         | 0         | 0         |
| 132 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H1J834               | Computing: Graded Unit 1                                              |     1 | 1        | A      | 0        | 0         | 0         | 0         |
| 133 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H1J834               | Computing: Graded Unit 1                                              |     1 | 2        | A      | 0        | 0         | 0         | 0         |
| 134 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H17934               | Cloud Computing                                                       |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 135 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H16W35               | Relational Database Management Systems                                |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 136 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H16W35               | Relational Database Management Systems                                |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 137 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H17W34               | Software Development: Developing Small Scale Standalone Applications  |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 138 | HDCSD_BF117C    | HND Computing: Software Development SCQF Level 8 - Yr1 Grp C                                         | STB      | H17W34               | Software Development: Developing Small Scale Standalone Applications  |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 139 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 140 | TAPSD_BF217A    | HND Computing: Software Development SCQF Level 8 - Yr2 Grp A                                         | STB      | H17R35               | Mobile Technology                                                     |     0 | 2        | V      | VPG      | 0         | 0         | 0         |
| 143 | TAPSD_BF217A    | HND Computing: Software Development SCQF Level 8 - Yr2 Grp A                                         | STB      | H16Y35               | Software Development: Data Structures                                 |     0 | 2        | A      | Ronal    | 0         | 0         | 0         |
| 146 | TAPSD_BF217A    | HND Computing: Software Development SCQF Level 8 - Yr2 Grp A                                         | STB      | H48W35               | Computing: Software Development: Graded Unit 2                        |     0 | 2        | A      | Neymar9  | 0         | 0         | 0         |
| 152 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 165 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 181 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 196 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 197 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | F3GC11               | Information and Communication Technology                              |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 198 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | F3GD11               | Problem Solving                                                       |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 199 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 206 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | F3GB10               | Communication                                                         |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 207 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | F3GB11               | Communication                                                         |     2 | 0        | A      | 0        | 0         | 0         | 0         |
| 208 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | F3GF10               | Numeracy                                                              |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 209 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | F3GF11               | Numeracy                                                              |     2 | 0        | A      | 0        | 0         | 0         | 0         |
| 210 | TAPSM5_BF117A   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | H22175               | Lifeskills Mathematics: Managing Finance and Statistics               |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 218 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 219 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F3GC11               | Information and Communication Technology                              |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 220 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F3GD11               | Problem Solving                                                       |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 221 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F18211               | Computing: Website Design and Development                             |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 222 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F1FC11               | PC Passport: IT Software - Word Processing and Presenting Information |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 223 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F1KB11               | Computing: Animation Fundamentals                                     |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 224 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F1KH11               | Computing: Computer Networking Fundamentals                           |     2 | 2        | V      | 0        | 0         | 0         | 0         |
| 225 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F1KR11               | Computing: Computer Hardware and Systems                              |     2 | 1        | V      | 0        | 0         | 0         | 0         |
| 226 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F1KS11               | Computing: Digital Media Elements for Applications                    |     2 | 2        | A      | 0        | 0         | 0         | 0         |
| 227 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F3GB10               | Communication                                                         |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 228 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F3GB11               | Communication                                                         |     2 | 0        | A      | 0        | 0         | 0         | 0         |
| 229 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F3GF10               | Numeracy                                                              |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 230 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | F3GF11               | Numeracy                                                              |     2 | 0        | A      | 0        | 0         | 0         | 0         |
| 231 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | H22175               | Lifeskills Mathematics: Managing Finance and Statistics               |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
| 232 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | H6S945               | Computing: Applications Development                                   |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 233 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | SHTML5               | HTML5 Coding                                                          |     2 | 1        | A      | 0        | 0         | 0         | 0         |
| 234 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | H22375               | Software Design and Development                                       |     3 | 2        | A      | 0        | 0         | 0         | 0         |
| 235 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support - Yr1 GrpB | STB      | H22675               | Information System Design and Development                             |     3 | 1        | A      | 0        | 0         | 0         | 0         |
